index,match_no,ballnumber,inningno,over,outcome,batter,bowler,comment,score
3091,13,67,2,11.1,4,Venkatesh Iyer,Yash Dayal,"Yash Dayal to Venkatesh Iyer, Four,",4
3092,13,68,2,11.2,6,Venkatesh Iyer,Yash Dayal,"Yash Dayal to Venkatesh Iyer, Six,",6
3093,13,69,2,11.3,1,Venkatesh Iyer,Yash Dayal,"Yash Dayal to Venkatesh Iyer, 1 run,",1
3094,13,70,2,11.4,0,Nitish Rana,Yash Dayal,"Yash Dayal to Nitish Rana, no run,",0
3095,13,71,2,11.5,0,Nitish Rana,Yash Dayal,"Yash Dayal to Nitish Rana, no run,",0
3096,13,72,2,11.6,6,Nitish Rana,Yash Dayal,"Yash Dayal to Nitish Rana, Six,",6
3097,13,73,2,12.1,1,Venkatesh Iyer,Rashid Khan,"Rashid Khan to Venkatesh Iyer, 1 run,",1
3098,13,74,2,12.2,4,Nitish Rana,Rashid Khan,"Rashid Khan to Nitish Rana, Four,",4
3099,13,75,2,12.3,4,Nitish Rana,Rashid Khan,"Rashid Khan to Nitish Rana, Four,",4
3100,13,76,2,12.4,0,Nitish Rana,Rashid Khan,"Rashid Khan to Nitish Rana, no run,",0
3101,13,77,2,12.5,1,Nitish Rana,Rashid Khan,"Rashid Khan to Nitish Rana, 1 run,",1
3102,13,78,2,12.6,2,Venkatesh Iyer,Rashid Khan,"Rashid Khan to Venkatesh Iyer, 2 runs,",2
3103,13,79,2,13.1,w,Nitish Rana,Alzarri Joseph,"Alzarri Joseph to Nitish Rana, no run,                           Wicket - c M Shami b Alzarri Joseph batsmen out 45(29)",0
3104,13,80,2,13.2,0,Rinku Singh,Alzarri Joseph,"Alzarri Joseph to Rinku Singh, no run,",0
3105,13,81,2,13.3,0,Rinku Singh,Alzarri Joseph,"Alzarri Joseph to Rinku Singh, no run,",0
3106,13,82,2,13.4,1,Rinku Singh,Alzarri Joseph,"Alzarri Joseph to Rinku Singh, 1 run,",1
3107,13,83,2,13.5,2,Venkatesh Iyer,Alzarri Joseph,"Alzarri Joseph to Venkatesh Iyer, 2 runs,",2
3108,13,84,2,13.6,1,Venkatesh Iyer,Alzarri Joseph,"Alzarri Joseph to Venkatesh Iyer, 1 run,",1
3109,13,85,2,14.1,1,Venkatesh Iyer,Josh Little,"Josh Little to Venkatesh Iyer, 1 run,",1
3110,13,86,2,14.2,1,Rinku Singh,Josh Little,"Josh Little to Rinku Singh, 1 run,",1
3111,13,87,2,14.3,1wd,Venkatesh Iyer,Josh Little,"Josh Little to Venkatesh Iyer, 1 wide,",1
3112,13,88,2,14.3,4,Venkatesh Iyer,Josh Little,"Josh Little to Venkatesh Iyer, Four,",4
3113,13,89,2,14.4,0,Venkatesh Iyer,Josh Little,"Josh Little to Venkatesh Iyer, no run,",0
3114,13,90,2,14.5,4,Venkatesh Iyer,Josh Little,"Josh Little to Venkatesh Iyer, Four,",4
3115,13,91,2,14.6,6,Venkatesh Iyer,Josh Little,"Josh Little to Venkatesh Iyer, Six,",6
3116,13,92,2,15.1,0,Rinku Singh,Alzarri Joseph,"Alzarri Joseph to Rinku Singh, no run,",0
3117,13,93,2,15.2,1,Rinku Singh,Alzarri Joseph,"Alzarri Joseph to Rinku Singh, 1 run,",1
3118,13,94,2,15.3,0,Venkatesh Iyer,Alzarri Joseph,"Alzarri Joseph to Venkatesh Iyer, no run,",0
3119,13,95,2,15.4,4,Venkatesh Iyer,Alzarri Joseph,"Alzarri Joseph to Venkatesh Iyer, Four,",4
3120,13,96,2,15.5,w,Venkatesh Iyer,Alzarri Joseph,"Alzarri Joseph to Venkatesh Iyer, no run,                           Wicket - c Shubman Gill b Alzarri Joseph batsmen out 83(40)",0
3121,13,97,2,15.6,1,Andre Russell,Alzarri Joseph,"Alzarri Joseph to Andre Russell, 1 run,",1
3122,13,98,2,16.1,w,Andre Russell,Rashid Khan,"Rashid Khan to Andre Russell, no run,                           Wicket - c (sub KS Bharat) b Rashid Khan batsmen out 1(2)",0
3123,13,99,2,16.2,w,Sunil Narine,Rashid Khan,"Rashid Khan to Sunil Narine, no run,                           Wicket - c (sub J Yadav) b Rashid Khan batsmen out 0(1)",0
3124,13,100,2,16.3,w,Shardul Thakur,Rashid Khan,"Rashid Khan to Shardul Thakur, no run,                           Wicket - lbw b Rashid Khan batsmen out 0(1)",0
3125,13,101,2,16.4,0,Umesh Yadav,Rashid Khan,"Rashid Khan to Umesh Yadav, no run,",0
3126,13,102,2,16.5,1,Umesh Yadav,Rashid Khan,"Rashid Khan to Umesh Yadav, 1 run,",1
3127,13,103,2,16.6,1,Rinku Singh,Rashid Khan,"Rashid Khan to Rinku Singh, 1 run,",1
